rank,team,score
2007,tomatomato,712.3
2008,Roland Gerlinger,712.2
2009,sasanatu72,712.2
2010,AL Najafi,712.1
2011,かすみさんち,711.6
2012,haiy_qq,711.6
2013,Krizsó Gergely,711.4
2014,Jack Yeung,711.1
2015,__kei__,711.1
2016,mumutu66,711.1
2017,安藤駿介,711.0
2018,smokyjp,711.0
2019,あーとらぼ,711.0
2020,H.Y,710.9
2021,ryuki1101,710.8
2022,Hanaro,710.8
2023,dreamtear,710.7
2024,Lamine Yamal,710.6
2025,Benjamin P,710.3
2026,AkiraIshikawa,710.2
2027,Arun,710.2
2028,UmutUygurr,709.9
2029,ShadowCoder,709.9
2030,Chloe,709.9
2031,Qq,709.9
2032,Q1du,709.7
2033,LeeVvin,709.7
2034,LarryBart,709.7
2035,Pikachu へ(●´︿｀●)へ,709.7
2036,OzanM.,709.6
2037,kotsuton,709.5
2038,LingLingToshite,709.4
2039,Kujaomega,709.3
2040,Sota Chan,709.3
2041,Haotian lv,709.3
2042,NOISEFALLACY,709.2
2043,Oscarmoon09,709.1
2044,Yashdeep Prasad,709.0
2045,sinoyuta,708.9
2046,PikaPi,708.8
2047,hatakazu93,708.7
2048,Eric Keller,708.6
2049,doublek,708.6
2050,Mai Kevin,708.5
2051,enim,708.5
2052,hondana29,708.4
2053,Nf4d1l,708.4
2054,FlameZywoo,708.4
2055,Mojumbo,708.4
2056,Umair Zia,708.3
2057,Yousef Turk,708.3
2058,higaki,708.2
2059,"Yuka,Ota",708.1
2060,keibrown,708.1
2061,david valor,708.1
2062,Jiangdan Sun,708.1
2063,ChrisYU2021,708.1
2064,Rob H,708.1
2065,Vybhav Chaturvedi,708.1
2066,Yuki Mizutani,708.0
2067,Gengar,708.0
2068,kemurayama,707.9
2069,I_luv_magick,707.9
2070,Leocthl,707.9
2071,Roy_Wang925,707.7
2072,Zhanpeng.W,707.5
2073,Pirate-Emperor,707.5
2074,necokaiden,707.5
2075,Jeki Wan Taufik,707.4
2076,Leonardo Boria,707.4
2077,YaYu,707.2
2078,NukoNiko15,707.2
2079,medkhalil hawachi,707.0
2080,Vijaya Ganesh,706.9
2081,Sandi MO,706.8
2082,renoyu,706.8
2083,Mogja J,706.8
2084,Park seung hyeon,706.8
2085,Neziki49,706.7
2086,LiXingtao,706.7
2087,E_96tree,706.6
2088,耶✌,706.6
2089,kokomi,706.5
2090,yuta,706.4
2091,AM,706.2
2092,umitengu,706.2
2093,HeavyChevy,706.2
2094,yw8837,706.2
2095,ChillR,706.2
2096,shota nishiyama,706.2
2097,"Jhu, Jhe-Yi",706.1
2098,auaua159,706.1
2099,YU BO,705.9
2100,そうめん,705.9
2101,momoon,705.9
2102,Edith Yong,705.8
2103,naoido,705.8
2104,大野ユウラ,705.7
2105,rurumi,705.6
2106,Syed Salman,705.6
2107,5386,705.5
2108,ren110,705.4
2109,suhzh zjjzh,705.4
2110,MZCFLUSAZZZZZ,705.4
2111,f.a.nina,705.3
2112,very kaggle,705.1
2113,Takahashi,705.0
2114,DeeperNet,705.0
2115,Shishio Makoto,704.9
2116,NU,704.9
2117,sajarin,704.8
2118,William Humphrey,704.7
2119,gibbonhugs,704.7
2120,Dicer992,704.7
2121,kurikuri54,704.6
2122,Wataya Iga,704.6
2123,Aditya,704.6
2124,Miniac,704.3
2125,Jenny Ryu,704.1
2126,AICON_Shibata,704.1
2127,ko_fusion_JPN,704.0
2128,A Aswanth Raj,703.9
2129,GreedShen,703.9
2130,Reyhan Ksatria,703.8
2131,chamboabi,703.7
2132,yimin0130O_O,703.5
2133,Taira Kaminaga,703.5
2134,HechtJP,703.5
2135,Raymond Guo,703.4
2136,Yuiki,703.3
2137,xly xly,703.2
2138,tks,703.1
2139,takuya noto,703.1
2140,princehur,703.0
2141,Ry_Sa,702.8
2142,Zer0 Karat,702.8
2143,Ahmed Mostafa,702.6
2144,ROWannaGet,702.6
2145,okkotsu_senpai,702.6
2146,nonono3,702.5
2147,8_16,702.5
2148,Артём Свинобоев,702.5
2149,so-ta,702.5
2150,G Pokemon,702.4
2151,ljkllucario,702.4
2152,hondoo,702.2
2153,ArnabKarmakar,702.1
2154,LaiCxm,702.1
2155,kiyu,702.0
2156,Shizupoke,701.6
2157,Marius Heuser,701.6
2158,kosei1701,701.6
2159,新木,701.5
2160,fksmaaaaa,701.5
2161,Muya,701.4
2162,sat0113,701.4
2163,Changyi Zhou,701.3
2164,Tokiya Osuka,701.3
2165,koiwashi,701.2
2166,Colin19,701.2
2167,Sholto Armstrong,701.1
2168,cimyzzz,701.1
2169,Yin Li,701.1
2170,WAKIYA,701.0
2171,tf,701.0
2172,cshara,701.0
2173,hoodrichpirobo,700.9
2174,unknown,700.9
2175,songling,700.9
2176,Haru,700.3
2177,kozzy,700.3
2178,Uta U,700.2
2179,tk,700.2
2180,Sai Paladugu,700.1
2181,cam3ronc,700.0
2182,Sushanth Tiruvaipati,700.0
2183,Robina,700.0
2184,俺達何え?チームcudgk,699.9
2185,Soichiro Kuribayashi,699.8
2186,最强小智,699.8
2187,BoxyML,699.7
2188,T.Kawahara,699.7
2189,Permana LWEP,699.7
2190,Allan Kássio Beckman Soares da Cruz,699.7
2191,seyolax,699.6
2192,元乃元元宝,699.6
2193,Eesh saxena,699.5
2194,eurusoo,699.4
2195,Akasamai,699.4
2196,SoshiSaito,699.3
2197,Shree85,699.2
2198,Alessandro Campolo,699.2
2199,rikakei_no_otaku,699.2
2200,kuma_jp,699.2
2201,RR 606d,699.1
2202,kq5y,699.1
2203,Paris Baguette,699.1
2204,Junlaii,699.0
2205,yuto16,699.0
2206,kose maeno,699.0
2207,satory074,699.0
2208,DaiPh,698.9
2209,Malla,698.9
2210,Momotaro1226,698.9
2211,k66,698.9
2212,Willetta Dettore,698.9
2213,서재원,698.8
2214,Xenon Soh,698.7
2215,André Dkw,698.7
2216,Adam Radziwanowski,698.5
2217,Vibeesh S S,698.5
2218,harlen,698.3
2219,Monibee Fudgekins,698.3
2220,Yiding Mao,698.2
2221,Alex Gorica,698.2
2222,trail,698.2
2223,RuiFSPinto,698.0
2224,Joe W.,698.0
2225,ANIMA SQUAD,697.9
2226,r0ki3day,697.8
2227,GarlicToday,697.8
2228,sugiharahara,697.7
2229,hoshi3,697.7
2230,Egor Tkachenko,697.4
2231,GoodMorning,697.3
2232,TomBombadyl,697.3
2233,YangAoTian,697.2
2234,RJ Jarecki,697.0
2235,DenisEdwards,697.0
2236,Prashant Kikani,697.0
2237,Pyouneetm,697.0
2238,Trii,696.9
2239,NeckBeard,696.9
2240,Randynho,696.8
2241,Maruti Harsha,696.7
2242,Ajay_Rao_43,696.7
2243,Rok,696.7
2244,Soma,696.7
2245,PRMNC,696.5
2246,Jim Eastburn,696.4
2247,Tri Nguyen,696.4
2248,datawizardd,696.1
2249,MITSU,696.0
2250,车嘉宁（Mr-Car）,695.9
2251,AWANGMY,695.9
2252,mogura2.0,695.9
2253,Zhenrui.Weng,695.8
2254,U023,695.8
2255,M2AI,695.8
2256,Ayodeji,695.7
2257,Rotation Theory,695.7
2258,[Deleted] deb63409-bd8e-4a8a-bd63-7e2b9c4f6908,695.7
2259,payne yam,695.6
2260,HIROYA KIKUCHI,695.6
2261,Luca Rossitto,695.6
2262,dranblade,695.6
2263,Tawara,695.5
2264,honjousetuna,695.5
2265, me-keh-dev,695.5
2266,konaito,695.5
2267,Kentaro Hirose,695.4
2268,mrk,695.4
2269,YuhiVT,695.4
2270,Samuil Petkov,695.4
2271,Kerem çelik,695.3
2272,ShiumAI,695.3
2273,Shubham Phapale,695.2
2274,Quan Nguyen,695.1
2275,Gyan Melior,695.1
2276,daigakupotato,695.0
2277,Vignesh Reddy Julakanti,695.0
2278,LowEffort,695.0
2279,XiaoYan12,695.0
2280,nattomaki,694.8
2281,Sophinator,694.8
2282,tamref,694.7
2283,Ryan #2,694.6
2284,bill simon,694.6
2285,tokawa2997,694.6
2286,akiyamage,694.5
2287,ひろたこう,694.5
2288,隊員落ち武者,694.5
2289,mono_ogu,694.4
2290,askamijo,694.3
2291,RLAP,694.3
2292,katsudon 421,694.3
2293,lark1115,694.3
2294,X1a0Ch3n,694.2
2295,kiwi apple,694.2
2296,WEcoS,694.2
2297,poki poki,694.2
2298,kta_jpn,694.2
2299,OrangeJagaimo,694.1
2300,Guu Yangqi,694.1
2301,Poké Bowl,694.0
2302,PieForever,693.9
2303,Nomiyama　Yu,693.9
2304,AmeliaLL,693.9
2305,JaMorant,693.8
2306,Kuze Luz,693.7
2307,Zen kōan,693.7
2308,Takito Kobayashi,693.7
2309,yuziri,693.6
2310,Ramesh Arvind,693.6
2311,kambarakun,693.5
2312,Xiaofei Zhao,693.5
2313,dkyk,693.4
2314,20070521 assassin,693.4
2315,清水一希,693.4
2316,FirstSS-Sub,693.4
2317,airMac 778,693.4
2318,Kyogre,693.3
2319,PokePoke-777,693.3
2320,richwomanbtc,693.3
2321,DataLover,693.1
2322,Libra,693.0
2323,Jiang,692.9
2324,blackseashark@gcvt,692.9
2325,MEP,692.8
2326,まきたくん,692.7
2327,y.k.,692.6
2328,illness fubuki,692.5
2329,David Tan,692.5
2330,Gustavo Knudsen,692.4
2331,r_4vk,692.4
2332,no_wonderr,692.4
2333,ISE@JNU-1,692.3
2334,tenajima,692.3
2335,のはたく,692.2
2336,Shin7jp,692.2
2337,4Solver,692.2
2338,pllinas,692.1
2339,Matthew Huang,692.0
2340,hodumi,692.0
2341,ywwywww,692.0
2342,Maxy5illion,692.0
2343,lei minish,692.0
2344,d02775,691.9
2345,くりたんとたけちゃん,691.9
2346,Haixin Yue,691.8
2347,Anirban Chatterjee,691.8
2348,hexisteme,691.7
2349,[Deleted] debc07d4-c28c-40a6-9785-f7b96b031221,691.7
2350,Zen dovid,691.5
2351,Eruto Kondo,691.4
2352,Li Mingyang,691.3
2353,HARSHIT SHARMA,691.2
2354,Mikhail Breikin,691.2
2355,@🤞@,691.2
2356,Fabian Friedland,691.2
2357,Team D,691.2
2358,Samuel Verneri Ojala,691.2
2359,fumishiki,691.1
2360,SH11235,691.1
2361,Shubham Sahu2003,691.0
2362,yomi,690.9
2363,Arceus,690.9
2364,SAGAR PAWADI N,690.9
2365,insert team name here,690.7
2366,amashigure,690.7
2367,nyanlinnmya,690.6
2368,Hugo and John,690.5
2369,Inlon Kou,690.4
2370,rsuet61,690.3
2371,GENGARDEV,690.3
2372,uesi,690.1
2373,让子弹飞一会儿,690.1
2374,john,690.0
2375,神奈川大学は国立大学,689.8
2376,L-WALID,689.8
2377,Mike Kim,689.7
2378,Oz Kilic,689.7
2379,ZephyrRising,689.7
2380,haha750,689.6
2381,Light Musing,689.6
2382,Sera,689.5
2383,EKMorris,689.5
2384,2-38.com,689.3
2385,aaaki_t,689.3
2386,konbu17,689.2
2387,MERO TOKI,689.2
2388,wao zhang,689.2
2389,EF,689.1
2390,youchy,689.1
2391,YoshiBrightside,688.9
2392,Ivan Zagorulko,688.9
2393,aosi123,688.8
2394,Hanliu0408,688.7
2395,YOKKO,688.5
2396,Riko Hirano,688.5
2397,Михаил,688.5
2398,joequant3,688.4
2399,Ethereal49,688.2
2400,CortexExplorer,688.0
2401,渡邉瑛貴,687.9
2402,Masashi Oohira,687.9
2403,yutssk,687.8
2404,Codyzzzz,687.8
2405,yuhei,687.6
2406,AK #2,687.6
2407,ninini,687.6
2408,Jensen_01,687.5
2409,Abdellahi Ahmed Zerough,687.5
2410,Tsukuru,687.4
2411,suis101,687.4
2412,kazuki morikawa,687.4
2413,Hase2727,687.3
2414,Nektox,687.2
2415,halup,687.2
2416,nao.kwmr,687.0
2417,Naoki Osako,686.8
2418,ZealChou,686.7
2419,KAIWALYA RAUT,686.7
2420,ITF_Esys_Kasu,686.5
2421,magu,686.4
2422,MorS,686.4
2423,Grayskull,686.4
2424,KooDol,686.2
2425,LinearBasis,686.1
2426,Kiratan,686.0
2427,Create Studio.,686.0
2428,KentaTanaka,685.9
2429,SwastikR,685.9
2430,KojiKRSE,685.9
2431,kouki__k_4869,685.7
2432,[ODS] waniz,685.7
2433,teppei,685.6
2434,Fernando,685.6
2435,Moegi,685.5
2436,Tyooughtul,685.5
2437,Pytorch,685.5
2438,Furkan Pirinc,685.5
2439,KKasai,685.4
2440,Twin Energy,685.3
2441,keiichi11,685.3
2442,Ray,685.2
2443,Pedro Ruschel,685.2
2444,VSR,685.2
2445,Phạm Vương,685.2
2446,tracker forever,685.1
2447,reo ifigg,685.0
2448,pingtian,685.0
2449,shimo 65,684.9
2450,kenN2439,684.9
2451,Giant Lam,684.9
2452,Poojan,684.9
2453,Cotini,684.8
2454,Adam Vajda,684.7
2455,navazsh fathi,684.7
2456,Yoshinari Kawashima,684.6
2457,wcyue,684.5
2458,Myagi,684.5
2459,Jessica Hsu,684.5
2460,qianbao hou,684.4
2461,tk #2,684.4
2462,lkevincc,684.4
2463,Zhongyuan Zhang,684.4
2464,Pult Pounders ;),684.3
2465,razona,684.2
2466,torusuke,684.2
2467,ポケポケマスター,684.2
2468,Inder Puneet Singh,684.1
2469,NullPointer,684.1
2470,SK,683.9
2471,CHEN CHEN,683.9
2472,Rahul Rathnavel K,683.9
2473,Ricky Yuen,683.8
2474,Giovanni Chang,683.7
2475,樹神,683.7
2476,taopy2,683.7
2477,Cary Chan,683.6
2478,Haixiang Xu,683.5
2479,Got That Weedle?,683.4
2480,ItoItoIto,683.4
2481,Team 阿頼耶識,683.3
2482,Silhouette,683.3
2483,Kuriboh,683.2
2484,pcxxxxxx,683.1
2485,Yentür,683.0
2486,STY,682.9
2487,ulaph4,682.9
2488,Sypher_S,682.9
2489,senseiphone,682.9
2490,Takuma Miwa,682.9
2491,Olga Ivanova,682.9
2492,shash,682.8
2493,Jason Lau,682.8
2494,Hongbin Guokaggle,682.8
2495,takuyay,682.8
2496,Achal Jain,682.7
2497,wakama-nanase,682.7
2498,mgn,682.6
2499,StupidXie,682.6
2500,OctahedronBB,682.5
2501,Noir,682.5
2502,kawachi,682.4
2503,小松崎　大世,682.4
2504,Masahiro Nagasawa,682.3
2505,Lemmes Yad,682.3
2506,Ming68,682.2
2507,ebrownel,682.2
2508,guohaowen,682.2
2509,NingXiongFeng,682.1
2510,ゼミ費ください。,682.0
2511,radozaprazny,682.0
2512,四月一日,682.0
2513,iwawawawa iwawa,682.0
2514,K.Piro,681.9
2515,GeniusYY,681.9
2516,romthpt,681.6
2517,NoxMetenis,681.4
2518,G-Lin1k,681.4
2519,Shuhei Kuroiwa,681.3
2520,hank0123,681.3
2521,festivallead,681.2
2522,Mamo,681.0
2523,nasubii,680.9
2524,1++++++++,680.9
2525,ACoder,680.8
2526,mmath2,680.8
2527,We1chnon,680.8
2528,Jesús Martín Fernández,680.7
2529,haogood666,680.7
2530,Sukjae Cho,680.6
2531,Kashyapsinh gohil,680.5
2532,Muhammad Junaid #2,680.5
2533,Kritika Benjwal,680.3
2534,Xiangling,680.3
2535,NuuNohjo,680.3
2536,techtech69,680.2
2537,yue13,680.2
2538,Tang,680.2
2539,pocky34,680.2
2540,Aayush Rajput03,680.1
2541,haodou092,680.1
2542,Dajai Stewart,680.1
2543,Skarmory,680.0
2544,nakazu,679.8
2545,Vicky Maan,679.8
2546,seiya.n21,679.7
2547,Aaditya_Joshi,679.7
2548,gavi asai,679.7
2549,n=1,679.7
2550,Javier Arturo Gutierrez Sanchez ,679.6
2551,Focus,679.4
2552,barrybao123,679.4
2553,nakayashiki697,679.4
2554,Samyakraj Bayar,679.4
2555,stargazer,679.3
2556,okg,679.3
2557,ima_AI123,679.3
2558,velton(0),679.1
2559,Lonnie,679.1
2560,Michael Pershin,678.8
2561,hhku,678.8
2562,discoverybytes,678.8
2563,ei8171,678.8
2564,Skyscraver,678.6
2565,Ohashi,678.6
2566,ZhouActor,678.5
2567,Tardigrades,678.3
2568,sakama,678.2
2569,Jakal,678.1
2570,MakiMakiAi,678.0
2571,trow126,677.7
2572,Yusuke Aoki002,677.6
2573,strayuru,677.6
2574,Anirudh K,677.5
2575,vinceybb,677.5
2576,Prudhvi Sairam Chundru,677.4
2577,Kityyomu,677.4
2578,Ryutogrrr,677.4
2579,\bleel00,677.4
2580,Prajwal Rawoorkar,677.3
2581,Ghulam Ahmad,677.3
2582,Shumpei Kobayashi,677.3
2583,ADS,677.1
2584,tsuvo,677.0
2585,SoulParty,677.0
2586,Yamafy2016,676.9
2587,leocrivels,676.8
2588,胜你不须第二剑,676.6
2589,KyuuSamurai,676.6
2590,Y.Kaisei,676.5
2591,Linda Brown,676.4
2592,souta927,676.4
2593,Efthimios,676.3
2594,Chen Hongjie,676.2
2595,shimejimeshi,676.1
2596,shzh.wei,676.1
2597,blanca985,675.9
2598,rekhasri,675.8
2599,can_cam,675.7
2600,srm463,675.6
2601,Takuma_Tsuji,675.6
2602,Goku D Kingler,675.5
2603,Evgeniy Prilutskiy,675.3
2604,Sheldon Zhao,675.3
2605,Niko Kristanto,675.2
2606,Tommy,675.2
2607,kunai,675.2
2608,Nora,675.1
2609,Seu Megashinka,675.1
2610,Charismatic Pizza Party🍕,675.1
2611,Deeptanush Kapaka,674.9
2612,Angus Chang,674.9
2613,AEONcorridor,674.9
2614,Birusupi,674.8
2615,AURORA,674.7
2616,昊天宗乱披风九九归一,674.7
2617,Hiryu,674.7
2618,nisimu197,674.7
2619,yd2696,674.6
2620,panda__MB__maximus,674.2
2621,DuongTien,674.1
2622,Yaoying Cai,674.0
2623,Naoshin,674.0
2624,cmoney,674.0
2625,yshinok,673.9
2626,LevKayumov,673.9
2627,Aditya Sharma,673.8
2628,まーやん,673.8
2629,"Seok, Jeongeum",673.7
2630,Meenal Sinha,673.7
2631,deepika.ss,673.7
2632,浪漫血液,673.7
2633,Shirag Maharaj,673.6
2634,MizoTake,673.6
2635,nikechan,673.6
2636,betterme,673.5
2637,Shawn Sullen,673.4
2638,kamonabe,673.2
2639,nao_370,673.0
2640,pontamaru,672.9
2641,James Christian,672.9
2642,monnu,672.8
2643,starclan,672.7
2644,omoch1...?,672.6
2645,Casey,672.5
2646,StagStreet,672.4
2647,Haekal D,672.3
2648,anuveshika prasad,672.2
2649,Ajito Nelson,672.2
2650,xiaoli,672.2
2651,Ravi Ramakrishnan,672.2
2652,Karan Bhatti,672.1
2653,Seikan Suzuki,672.1
2654,Metanoon,672.1
2655,Brian Altan,672.0
2656,ShinjiroKuroda,672.0
2657,FWC,671.8
2658,shinichiro uno3,671.8
2659,Atharva Maik,671.8
2660,Hiroyasu123,671.8
2661,japan nobu,671.8
2662,박강찬,671.7
2663,TheDigitalCK,671.6
2664,Cowboy P,671.6
2665,Zhang Haonan,671.6
2666,fp563yu,671.5
2667,VIVEK JAMI,671.4
2668,mochamocha_Y,671.4
2669,Pappu Contractors,671.3
2670,ankii385,671.3
2671,Santhana,671.3
2672,masuo machidori,671.2
2673,dukeprashanth,671.2
2674,Pratham Jain,671.1
2675,quzhihang,671.1
2676,teetru,670.9
2677,Ali Zakaee,670.9
2678,JiaXi94,670.8
2679,Mr_Ralphie,670.8
2680,!!,670.7
2681,Syljun0717,670.7
2682,July,670.7
2683,NangJP,670.6
2684,shikibu9419,670.5
2685,Anemone,670.5
2686,Vaibhav_486,670.4
2687,ITK8191,670.2
2688,Matsuda040708,670.0
2689,Barno Barno,670.0
2690,hikimay,669.9
2691,Rin'z Uznir,669.8
2692,daizedoskoi,669.8
2693,tonghuicheng,669.7
2694,shibuyaboy,669.6
2695,nnamdi,669.6
2696,Maksym Bilychenko,669.6
2697,Cosmic Birefringence,669.5
2698,Gabe Mccrea,669.5
2699,АНАНАС,669.4
2700,dafujii,669.4
2701,wongsakorn.rat,669.3
2702,Yoshimura Soichiro,669.2
2703,たいたん,669.1
2704,MartinZiserman,668.9
2705,門司 匡広,668.8
2706,Borrun,668.8
2707,tuannm3812,668.7
2708,toiru1999,668.7
2709,CaCao_JP,668.7
2710,Kazato Takahashi,668.7
2711,daichi4197,668.6
2712,Samsay24,668.6
2713,Vipeen Kumar,668.5
2714,keith,668.5
2715,Daisuke Okada,668.4
2716,tachyon_c2,668.3
2717,ayato_suzuki10,668.2
2718,Viturv Pathak,668.2
2719,Varun Rao,668.0
2720,Liviu Alexandru Bobocu,668.0
2721,Pandafoss,668.0
2722,LiFeng Wen,667.9
2723,nanannan,667.6
2724,supermelon,667.6
2725,prod1gy,667.5
2726,KenLatte,667.4
2727,KollekTCG,667.3
2728,Brent Krakel,667.3
2729,Kingsley Compton,667.0
2730,pokesom,666.8
2731,Juan Lavieri Goiri,666.8
2732,河村直樹,666.7
2733,Nouzen,666.5
2734,TAKESHI KANEKO,666.5
2735,Jed Mijares,666.3
2736,YusukeKatoPremium,666.2
2737,Semyon Epanov,666.2
2738,AGNT.gg,666.1
2739,yaruwo,666.1
2740,Itóchu,666.0
2741,Leo,666.0
2742,win a real gold medal,666.0
2743,Robotron,665.9
2744,ハットにゃん,665.8
2745,Kakimoto Takahiro,665.8
2746,Leonardo03,665.8
2747,Aditya Mishra,665.7
2748,Brian Yong,665.6
2749,Lapra5,665.6
2750,むにちゃちゃ,665.3
2751,sakimyto,665.2
2752,Aevion-Labs,665.1
2753,monst_dama,664.8
2754,Cauã Macedo,664.8
2755,Nine1Eight,664.8
2756,Y2Dex,664.8
2757,reizouko264,664.6
2758,KICU 249,664.6
2759,Toshiki Shinju,664.6
2760,qiao jinxia07,664.5
2761,Ioannis M,664.5
2762,Togo,664.4
2763,TrustHub hiroingk,664.4
2764,fanmili,664.4
2765,wmore8,664.4
2766,morux2,664.3
2767,Maher el Ouahabi,664.3
2768,ShadowT_T,664.2
2769,Gotta catch 'em all,664.2
2770,もたざる,664.1
2771,PRINCE KUMAR YADAV,664.0
2772,Adi Kumar,664.0
2773,Vavilkin Alexander,663.9
2774,juliencst,663.8
2775,Hiroyasu Okuno,663.8
2776,Atishay Kasliwal,663.7
2777,Yqqxyy ,663.7
2778,spacekkk,663.7
2779,Clark Kitchen,663.7
2780,ChenHe-Hung,663.7
2781,kaliafluorido,663.6
2782,Yuki_h,663.6
2783,Henri Upton,663.5
2784,Anh-Vu Mai-Nguyen,663.3
2785,YusukeSai0407,663.3
2786,SeanT,663.3
2787,wyztony,663.2
2788,mw,663.1
2789,Ehimen Nathaniel,663.0
2790,Masahiro Tanaka,663.0
2791,eiji noguchi,662.9
2792,DreadDevelopment,662.9
2793,justmayank,662.9
2794,The Peter Cooper Fan Club,662.8
2795,keitaro_nakashima,662.8
2796,jeruman,662.8
2797,Sugano Yuta,662.7
2798,yayoi111,662.7
2799,Luck is not a strategy,662.6
2800,yu_gotou,662.5
2801,Shanghai,662.5
2802,Reinhard,662.5
2803,The Rocket Science,662.4
2804,Dancing_RYAN,662.3
2805,So Momma,662.3
2806,viss,662.3
2807,Thomas Cook,662.3
2808,성태훈SonTaehoon,662.3
2809,Mathieu W,662.2
2810,Tatsuya Goto,662.1
2811,SOUTA Sakurai,662.0
2812,Ondrew Zudin,661.9
2813,Rayder Zero,661.9
2814,DforDragon,661.8
2815,Shigeru Kondou,661.7
2816,feles99,661.7
2817,Bulan Mei,661.7
2818,nnnnio_pppira,661.6
2819,Venture2525?,661.6
2820,Hack2Publish,661.6
2821,H.Ito,661.6
2822,Dharaniraj Lakshmanan,661.5
2823,Bakuney,661.5
2824,ghostiee11,661.4
2825,Mrs_Black,661.4
2826,Toshiki Tsuchiya,661.4
2827,Marron22246,661.2
2828,sawasawasawa,661.1
2829,Fayche,661.1
2830,Anna Wood,661.1
2831,R. Yamada,661.0
2832,mktdev,660.9
2833,Alex G,660.8
2834,bugaoxing,660.8
2835,Hikaru Umeyama,660.8
2836,tomoki225255,660.7
2837,SCU_12600883,660.7
2838,lolnazo,660.6
2839,rokopix,660.6
2840,TmDofi,660.6
2841,lixinglong ye,660.5
2842,mitsukuni,660.3
2843,yamatchan,660.3
2844,plato,660.3
2845,atayanZ123,660.2
2846,Wisdom Dogah,660.0
2847,greatestFrog,659.9
2848,0xWhalet,659.9
2849,Satoluca,659.8
2850,Nguyễn Giáp,659.6
2851,impaja,659.6
2852,ElvisSikora,659.5
2853,Vu #2,659.5
2854,carpe diemviva,659.5
2855,Ahmed Mustafa Ahmed,659.4
2856,mikke9747,659.4
2857,らすはる,659.4
2858,ShikeChen,659.4
2859,KarmaCodes,659.3
2860,Azubiwa,659.3
2861,yzx22442255,659.0
2862,WeiJun Dou,659.0
2863,Kaiya Kawata,658.9
2864,Covetous Dragon,658.8
2865,catttttttttt,658.8
2866,Sahoooooo!,658.8
2867,rupsa roy,658.6
2868,Popomon,658.5
2869,daiki_pyonkichi,658.3
2870,Solid_Sea,658.3
2871,Bancho,658.3
2872,IDG,658.1
2873,PTCG_CN,658.1
2874,Taishoh,658.0
2875,AI AI,658.0
2876,Galza98,657.8
2877,surugawannoebi,657.8
2878,Rongchu,657.8
2879,Yuta Goda,657.8
2880,Aishwarya Chandrasekhar,657.8
2881,Matt,657.8
2882,(ノ◡ <),657.7
2883,てしごとや,657.6
2884,miyakokonbu,657.6
2885,Robo Games,657.5
2886,MJVinay,657.4
2887,Chong Xuan Ng,657.4
2888,Sophie,657.4
2889,sury,657.3
2890,askbox,657.1
2891,[RU] Nikita Kuznetsov,657.0
2892,Abdul Rauf,657.0
2893,jin hiratsuka,657.0
2894,hideMonkey,656.9
2895,Yasuo 0/10/0,656.8
2896,ひげだるま(inovie株式会社),656.8
2897,Yamin Hossain,656.7
2898,Yser,656.7
2899,agedashi_touhu,656.7
2900,ryus1234,656.6
2901,Pranesh Jayasundar,656.6
2902,Keach Inoue,656.4
2903,cg,656.4
2904,PowerLawsEverywhere,656.4
2905,Jing Wu,656.3
2906,Takusato,656.3
2907,monicrew,656.3
2908,Team Name,656.2
2909,Sayyid Ab Latiff,656.2
2910,Suliman Tadros,656.1
2911,あぴょぴょ,656.1
2912,Quroro,656.0
2913,nishikun,655.9
2914,orikage,655.6
2915,kura54,655.6
2916,Kasra Rahjerdi,655.6
2917,moeuuu,655.5
2918,helenkwok,655.5
2919,g-taniguchi,655.5
2920,Ilham Sadewa,655.4
2921,FJMT,655.4
2922,bohemian3657,655.3
2923,Shunsuke Kurita,655.2
2924,Vivaan Satija,655.1
2925,Mr.Sriram Vaidyanathan,655.1
2926,Hiyato,655.1
2927,takahiro k0bayashi,655.1
2928,Alan Tsui,654.9
2929,夯,654.9
2930,prvsiyan,654.4
2931,MASAYU KOBAYASHI,654.4
2932,asahi,654.2
2933,omaru25chan,653.9
2934,nakanoData,653.8
2935,LEEKANG,653.5
2936,mochikiichigo,653.5
2937,ArthurDa,653.4
2938,Anish Gharat,653.4
2939,tamtsuba,653.4
2940,Julio Contreras,653.1
2941,Ron506,653.1
2942,Yuru Kōdā,653.1
2943,suirindo,653.1
2944,Oleg Yaroshevskiy,653.1
2945,kutty1119,653.0
2946,haruhinho,653.0
2947,SuperNorman,653.0
2948,33143250 - Vishnumohan Vijayan,653.0
2949,HARUKI HARADA,652.8
2950,Bijiumi,652.7
2951,pizpi0126,652.6
2952,Kohta.F,652.6
2953,rumbling_b,652.6
2954,yk-3141,652.6
2955,Dez Calimese,652.5
2956,cha7ura,652.4
2957,GluePickel,652.3
2958,Jake L and Kevin L,652.3
2959,Tatsuhiro Nakamori,652.2
2960,Keita Yanome,652.1
2961,mayukistarry,652.0
2962,tk.mit0127,652.0
2963,kumi cho,652.0
2964,DhanaLakshmiMalla,651.9
2965,Sven Natterer,651.7
2966,9Hash,651.7
2967,Du Dinh,651.6
2968,dungeon-master,651.5
2969,CyberGhost2077,651.4
2970,thunder_ftg,651.3
2971,Ye,651.3
2972,kajitake,651.2
2973,AndyLiuHz,651.2
2974,suzutanuki,651.1
2975,xinpw8,651.0
2976,DHKim0324,651.0
2977,junXD5,651.0
2978,Team kuma,650.9
