w0: 200/25000 games, 24s (0.118s/game)
w0: 14800/25000 games, 1799s (0.122s/game)
w0: 15000/25000 games, 1823s (0.122s/game)
w0: 15200/25000 games, 1846s (0.121s/game)
w0: 15400/25000 games, 1869s (0.121s/game)
w0: 15600/25000 games, 1893s (0.121s/game)
w0: 15800/25000 games, 1918s (0.121s/game)
w0: 16000/25000 games, 1943s (0.121s/game)
w0: 16200/25000 games, 1966s (0.121s/game)
w0: 16400/25000 games, 1989s (0.121s/game)
w0: 16600/25000 games, 2013s (0.121s/game)
w0: 16800/25000 games, 2038s (0.121s/game)
w0: 17000/25000 games, 2062s (0.121s/game)
w0: 17200/25000 games, 2085s (0.121s/game)
w0: 17400/25000 games, 2109s (0.121s/game)
w0: 17600/25000 games, 2133s (0.121s/game)
w0: 17800/25000 games, 2157s (0.121s/game)
w0: 18000/25000 games, 2180s (0.121s/game)
w0: 18200/25000 games, 2204s (0.121s/game)
w0: 18400/25000 games, 2227s (0.121s/game)
w0: 18600/25000 games, 2251s (0.121s/game)
w0: 18800/25000 games, 2275s (0.121s/game)
w0: 19000/25000 games, 2299s (0.121s/game)
w0: 19200/25000 games, 2323s (0.121s/game)
w0: 19400/25000 games, 2349s (0.121s/game)
w0: 19600/25000 games, 2372s (0.121s/game)
w0: 19800/25000 games, 2397s (0.121s/game)
w0: 20000/25000 games, 2420s (0.121s/game)
w0: 20200/25000 games, 2444s (0.121s/game)
w0: 20400/25000 games, 2468s (0.121s/game)
w0: 20600/25000 games, 2491s (0.121s/game)
w0: 20800/25000 games, 2515s (0.121s/game)
w0: 21000/25000 games, 2539s (0.121s/game)
w0: 21200/25000 games, 2563s (0.121s/game)
w0: 21400/25000 games, 2587s (0.121s/game)
w0: 21600/25000 games, 2610s (0.121s/game)
w0: 21800/25000 games, 2634s (0.121s/game)
w0: 22000/25000 games, 2657s (0.121s/game)
w0: 22200/25000 games, 2680s (0.121s/game)
w0: 22400/25000 games, 2705s (0.121s/game)
w0: 22600/25000 games, 2729s (0.121s/game)
w0: 22800/25000 games, 2753s (0.121s/game)
w0: 23000/25000 games, 2811s (0.122s/game)
w0: 23200/25000 games, 2834s (0.122s/game)
w0: 23400/25000 games, 2861s (0.122s/game)
w0: 23600/25000 games, 2885s (0.122s/game)
w0: 23800/25000 games, 2909s (0.122s/game)
w0: 24000/25000 games, 2933s (0.122s/game)
w0: 24200/25000 games, 2956s (0.122s/game)
w0: 24400/25000 games, 2980s (0.122s/game)
w0: 24600/25000 games, 3004s (0.122s/game)
w0: 24800/25000 games, 3028s (0.122s/game)
w0 DONE: 24952 games -> /home/jun/kaggle-ptcg-ai-battle/workspace/exp032_valuescale/data2/rows_w0.csv
