w1: 200/25000 games, 20s (0.099s/game)
w1: 9400/25000 games, 1122s (0.119s/game)
w1: 9600/25000 games, 1146s (0.119s/game)
w1: 9800/25000 games, 1170s (0.119s/game)
w1: 10000/25000 games, 1194s (0.119s/game)
w1: 10200/25000 games, 1219s (0.119s/game)
w1: 10400/25000 games, 1243s (0.119s/game)
w1: 10600/25000 games, 1266s (0.119s/game)
w1: 10800/25000 games, 1291s (0.120s/game)
w1: 11000/25000 games, 1315s (0.120s/game)
w1: 11200/25000 games, 1338s (0.119s/game)
w1: 11400/25000 games, 1362s (0.119s/game)
w1: 11600/25000 games, 1387s (0.120s/game)
w1: 11800/25000 games, 1413s (0.120s/game)
w1: 12000/25000 games, 1437s (0.120s/game)
w1: 12200/25000 games, 1460s (0.120s/game)
w1: 12400/25000 games, 1483s (0.120s/game)
w1: 12600/25000 games, 1509s (0.120s/game)
w1: 12800/25000 games, 1532s (0.120s/game)
w1: 13000/25000 games, 1555s (0.120s/game)
w1: 13200/25000 games, 1578s (0.120s/game)
w1: 13400/25000 games, 1601s (0.120s/game)
w1: 13600/25000 games, 1624s (0.119s/game)
w1: 13800/25000 games, 1649s (0.119s/game)
w1: 14000/25000 games, 1671s (0.119s/game)
w1: 14200/25000 games, 1697s (0.120s/game)
w1: 14400/25000 games, 1720s (0.119s/game)
w1: 14600/25000 games, 1744s (0.119s/game)
w1: 14800/25000 games, 1767s (0.119s/game)
w1: 15000/25000 games, 1792s (0.119s/game)
w1: 15200/25000 games, 1816s (0.119s/game)
w1: 15400/25000 games, 1840s (0.119s/game)
w1: 15600/25000 games, 1864s (0.120s/game)
w1: 15800/25000 games, 1889s (0.120s/game)
w1: 16000/25000 games, 1913s (0.120s/game)
w1: 16200/25000 games, 1938s (0.120s/game)
w1: 16400/25000 games, 1962s (0.120s/game)
w1: 16600/25000 games, 1986s (0.120s/game)
w1: 16800/25000 games, 2011s (0.120s/game)
w1: 17000/25000 games, 2035s (0.120s/game)
w1: 17200/25000 games, 2058s (0.120s/game)
w1: 17400/25000 games, 2083s (0.120s/game)
w1: 17600/25000 games, 2107s (0.120s/game)
w1: 17800/25000 games, 2132s (0.120s/game)
w1: 18000/25000 games, 2157s (0.120s/game)
w1: 18200/25000 games, 2180s (0.120s/game)
w1: 18400/25000 games, 2206s (0.120s/game)
w1: 18600/25000 games, 2230s (0.120s/game)
w1: 18800/25000 games, 2255s (0.120s/game)
w1: 19000/25000 games, 2280s (0.120s/game)
w1: 19200/25000 games, 2306s (0.120s/game)
w1: 19400/25000 games, 2334s (0.120s/game)
w1: 19600/25000 games, 2359s (0.120s/game)
w1: 19800/25000 games, 2382s (0.120s/game)
w1: 20000/25000 games, 2406s (0.120s/game)
w1: 20200/25000 games, 2430s (0.120s/game)
w1: 20400/25000 games, 2454s (0.120s/game)
w1: 20600/25000 games, 2478s (0.120s/game)
w1: 20800/25000 games, 2502s (0.120s/game)
w1: 21000/25000 games, 2526s (0.120s/game)
w1: 21200/25000 games, 2550s (0.120s/game)
w1: 21400/25000 games, 2577s (0.120s/game)
w1: 21600/25000 games, 2601s (0.120s/game)
w1: 21800/25000 games, 2625s (0.120s/game)
w1: 22000/25000 games, 2650s (0.120s/game)
w1: 22200/25000 games, 2674s (0.120s/game)
w1: 22400/25000 games, 2697s (0.120s/game)
w1: 22600/25000 games, 2720s (0.120s/game)
w1: 22800/25000 games, 2744s (0.120s/game)
w1: 23000/25000 games, 2768s (0.120s/game)
w1: 23200/25000 games, 2792s (0.120s/game)
w1: 23400/25000 games, 2816s (0.120s/game)
w1: 23600/25000 games, 2839s (0.120s/game)
w1: 23800/25000 games, 2863s (0.120s/game)
w1: 24000/25000 games, 2886s (0.120s/game)
w1: 24200/25000 games, 2910s (0.120s/game)
w1: 24400/25000 games, 2934s (0.120s/game)
w1: 24600/25000 games, 2958s (0.120s/game)
w1: 24800/25000 games, 2979s (0.120s/game)
w1 DONE: 24832 games -> /home/jun/kaggle-ptcg-ai-battle/workspace/exp032_valuescale/data/rows_w1.csv
