w3: 200/25000 games, 19s (0.095s/game)
w3: 20600/25000 games, 2459s (0.119s/game)
w3: 20800/25000 games, 2483s (0.119s/game)
w3: 21000/25000 games, 2507s (0.119s/game)
w3: 21200/25000 games, 2531s (0.119s/game)
w3: 21400/25000 games, 2555s (0.119s/game)
w3: 21600/25000 games, 2579s (0.119s/game)
w3: 21800/25000 games, 2603s (0.119s/game)
w3: 22000/25000 games, 2628s (0.119s/game)
w3: 22200/25000 games, 2652s (0.119s/game)
w3: 22400/25000 games, 2676s (0.119s/game)
w3: 22600/25000 games, 2699s (0.119s/game)
w3: 22800/25000 games, 2723s (0.119s/game)
w3: 23000/25000 games, 2747s (0.119s/game)
w3: 23200/25000 games, 2771s (0.119s/game)
w3: 23400/25000 games, 2794s (0.119s/game)
w3: 23600/25000 games, 2818s (0.119s/game)
w3: 23800/25000 games, 2842s (0.119s/game)
w3: 24000/25000 games, 2866s (0.119s/game)
w3: 24200/25000 games, 2889s (0.119s/game)
w3: 24400/25000 games, 2912s (0.119s/game)
w3: 24600/25000 games, 2937s (0.119s/game)
w3: 24800/25000 games, 2961s (0.119s/game)
w3 DONE: 24839 games -> /home/jun/kaggle-ptcg-ai-battle/workspace/exp032_valuescale/data/rows_w3.csv
