w0: 200/25000 games, 20s (0.098s/game)
w0: 12600/25000 games, 1505s (0.119s/game)
w0: 12800/25000 games, 1530s (0.120s/game)
w0: 13000/25000 games, 1554s (0.120s/game)
w0: 13200/25000 games, 1578s (0.120s/game)
w0: 13400/25000 games, 1602s (0.120s/game)
w0: 13600/25000 games, 1626s (0.120s/game)
w0: 13800/25000 games, 1650s (0.120s/game)
w0: 14000/25000 games, 1673s (0.119s/game)
w0: 14200/25000 games, 1697s (0.119s/game)
w0: 14400/25000 games, 1720s (0.119s/game)
w0: 14600/25000 games, 1743s (0.119s/game)
w0: 14800/25000 games, 1767s (0.119s/game)
w0: 15000/25000 games, 1791s (0.119s/game)
w0: 15200/25000 games, 1815s (0.119s/game)
w0: 15400/25000 games, 1839s (0.119s/game)
w0: 15600/25000 games, 1864s (0.119s/game)
w0: 15800/25000 games, 1888s (0.119s/game)
w0: 16000/25000 games, 1913s (0.120s/game)
w0: 16200/25000 games, 1937s (0.120s/game)
w0: 16400/25000 games, 1961s (0.120s/game)
w0: 16600/25000 games, 1986s (0.120s/game)
w0: 16800/25000 games, 2011s (0.120s/game)
w0: 17000/25000 games, 2035s (0.120s/game)
w0: 17200/25000 games, 2058s (0.120s/game)
w0: 17400/25000 games, 2084s (0.120s/game)
w0: 17600/25000 games, 2109s (0.120s/game)
w0: 17800/25000 games, 2133s (0.120s/game)
w0: 18000/25000 games, 2161s (0.120s/game)
w0: 18200/25000 games, 2186s (0.120s/game)
w0: 18400/25000 games, 2211s (0.120s/game)
w0: 18600/25000 games, 2236s (0.120s/game)
w0: 18800/25000 games, 2260s (0.120s/game)
w0: 19000/25000 games, 2285s (0.120s/game)
w0: 19200/25000 games, 2309s (0.120s/game)
w0: 19400/25000 games, 2333s (0.120s/game)
w0: 19600/25000 games, 2357s (0.120s/game)
w0: 19800/25000 games, 2382s (0.120s/game)
w0: 20000/25000 games, 2406s (0.120s/game)
w0: 20200/25000 games, 2430s (0.120s/game)
w0: 20400/25000 games, 2454s (0.120s/game)
w0: 20600/25000 games, 2477s (0.120s/game)
w0: 20800/25000 games, 2502s (0.120s/game)
w0: 21000/25000 games, 2527s (0.120s/game)
w0: 21200/25000 games, 2551s (0.120s/game)
w0: 21400/25000 games, 2575s (0.120s/game)
w0: 21600/25000 games, 2599s (0.120s/game)
w0: 21800/25000 games, 2623s (0.120s/game)
w0: 22000/25000 games, 2647s (0.120s/game)
w0: 22200/25000 games, 2670s (0.120s/game)
w0: 22400/25000 games, 2692s (0.120s/game)
w0: 22600/25000 games, 2716s (0.120s/game)
w0: 22800/25000 games, 2742s (0.120s/game)
w0: 23000/25000 games, 2766s (0.120s/game)
w0: 23200/25000 games, 2791s (0.120s/game)
w0: 23400/25000 games, 2817s (0.120s/game)
w0: 23600/25000 games, 2841s (0.120s/game)
w0: 23800/25000 games, 2865s (0.120s/game)
w0: 24000/25000 games, 2889s (0.120s/game)
w0: 24200/25000 games, 2913s (0.120s/game)
w0: 24400/25000 games, 2937s (0.120s/game)
w0: 24600/25000 games, 2963s (0.120s/game)
w0: 24800/25000 games, 2983s (0.120s/game)
w0 DONE: 24839 games -> /home/jun/kaggle-ptcg-ai-battle/workspace/exp032_valuescale/data/rows_w0.csv
