w1: 200/25000 games, 24s (0.118s/game)
w1: 15600/25000 games, 1882s (0.121s/game)
w1: 15800/25000 games, 1906s (0.121s/game)
w1: 16000/25000 games, 1929s (0.121s/game)
w1: 16200/25000 games, 1953s (0.121s/game)
w1: 16400/25000 games, 1976s (0.120s/game)
w1: 16600/25000 games, 2000s (0.121s/game)
w1: 16800/25000 games, 2024s (0.120s/game)
w1: 17000/25000 games, 2048s (0.120s/game)
w1: 17200/25000 games, 2071s (0.120s/game)
w1: 17400/25000 games, 2094s (0.120s/game)
w1: 17600/25000 games, 2118s (0.120s/game)
w1: 17800/25000 games, 2142s (0.120s/game)
w1: 18000/25000 games, 2166s (0.120s/game)
w1: 18200/25000 games, 2189s (0.120s/game)
w1: 18400/25000 games, 2212s (0.120s/game)
w1: 18600/25000 games, 2236s (0.120s/game)
w1: 18800/25000 games, 2260s (0.120s/game)
w1: 19000/25000 games, 2284s (0.120s/game)
w1: 19200/25000 games, 2307s (0.120s/game)
w1: 19400/25000 games, 2331s (0.120s/game)
w1: 19600/25000 games, 2358s (0.120s/game)
w1: 19800/25000 games, 2381s (0.120s/game)
w1: 20000/25000 games, 2405s (0.120s/game)
w1: 20200/25000 games, 2428s (0.120s/game)
w1: 20400/25000 games, 2452s (0.120s/game)
w1: 20600/25000 games, 2475s (0.120s/game)
w1: 20800/25000 games, 2499s (0.120s/game)
w1: 21000/25000 games, 2523s (0.120s/game)
w1: 21200/25000 games, 2546s (0.120s/game)
w1: 21400/25000 games, 2570s (0.120s/game)
w1: 21600/25000 games, 2594s (0.120s/game)
w1: 21800/25000 games, 2617s (0.120s/game)
w1: 22000/25000 games, 2640s (0.120s/game)
w1: 22200/25000 games, 2665s (0.120s/game)
w1: 22400/25000 games, 2688s (0.120s/game)
w1: 22600/25000 games, 2713s (0.120s/game)
w1: 22800/25000 games, 2737s (0.120s/game)
w1: 23000/25000 games, 2795s (0.122s/game)
w1: 23200/25000 games, 2817s (0.121s/game)
w1: 23400/25000 games, 2841s (0.121s/game)
w1: 23600/25000 games, 2864s (0.121s/game)
w1: 23800/25000 games, 2889s (0.121s/game)
w1: 24000/25000 games, 2913s (0.121s/game)
w1: 24200/25000 games, 2936s (0.121s/game)
w1: 24400/25000 games, 2960s (0.121s/game)
w1: 24600/25000 games, 2985s (0.121s/game)
w1: 24800/25000 games, 3009s (0.121s/game)
w1 DONE: 24945 games -> /home/jun/kaggle-ptcg-ai-battle/workspace/exp032_valuescale/data2/rows_w1.csv
